
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-07-09


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 4.0
Magnitude Max:, 6.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 15.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.01,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 215 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 30
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 215, 0.2209, 1.9187, -, 13.5, 27.1, 0.1, "Livermore-01", 1980, "San Ramon Fire Station", 5.8, strike slip, 15.84, 17.93, 384.47, 0.25, 1.9187, RSN215_LIVERMOR_A-SRM070.AT2, RSN215_LIVERMOR_A-SRM340.AT2 , RSN215_LIVERMOR_A-SRM-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-215 SRSS pSa (g)
0.15,0.3058104,0.23090531,0.23090531,0.23090531,0.23090531
0.16,0.3058104,0.24106638,0.24106638,0.24106638,0.24106638
0.17,0.3058104,0.2963528,0.2963528,0.2963528,0.2963528
0.18,0.3058104,0.32192764,0.32192764,0.32192764,0.32192764
0.19,0.3058104,0.35091849,0.35091849,0.35091849,0.35091849
0.2,0.3058104,0.36808442,0.36808442,0.36808442,0.36808442
0.22,0.3058104,0.37764955,0.37764955,0.37764955,0.37764955
0.24,0.3058104,0.31008016,0.31008016,0.31008016,0.31008016
0.25,0.3058104,0.35056938,0.35056938,0.35056938,0.35056938
0.26,0.3058104,0.3624665,0.3624665,0.3624665,0.3624665
0.28,0.3058104,0.32142915,0.32142915,0.32142915,0.32142915
0.29,0.3058104,0.33101881,0.33101881,0.33101881,0.33101881
0.3,0.3058104,0.34401187,0.34401187,0.34401187,0.34401187
0.32,0.28669725,0.30201688,0.30201688,0.30201688,0.30201688
0.34,0.2698327,0.28863458,0.28863458,0.28863458,0.28863458
0.35,0.2621232,0.28454209,0.28454209,0.28454209,0.28454209
0.36,0.254842,0.30618955,0.30618955,0.30618955,0.30618955
0.38,0.24142926,0.36937102,0.36937102,0.36937102,0.36937102
0.4,0.2293578,0.33937936,0.33937936,0.33937936,0.33937936
0.42,0.218436,0.3259203,0.3259203,0.3259203,0.3259203
0.44,0.20850709,0.28321404,0.28321404,0.28321404,0.28321404
0.45,0.2038736,0.27091539,0.27091539,0.27091539,0.27091539
0.46,0.19944156,0.26692254,0.26692254,0.26692254,0.26692254
0.48,0.1911315,0.25746485,0.25746485,0.25746485,0.25746485
0.5,0.18348624,0.23378507,0.23378507,0.23378507,0.23378507
0.55,0.16680567,0.27417139,0.27417139,0.27417139,0.27417139
0.6,0.1529052,0.29831935,0.29831935,0.29831935,0.29831935
0.65,0.14114326,0.27093886,0.27093886,0.27093886,0.27093886
0.667,0.13754591,0.26491132,0.26491132,0.26491132,0.26491132
0.7,0.1310616,0.22507455,0.22507455,0.22507455,0.22507455
0.75,0.12232416,0.19611026,0.19611026,0.19611026,0.19611026
0.8,0.1146789,0.2082642,0.2082642,0.2082642,0.2082642
0.85,0.10793308,0.23371134,0.23371134,0.23371134,0.23371134
0.9,0.1019368,0.23046447,0.23046447,0.23046447,0.23046447
0.95,0.0965717,0.21943945,0.21943945,0.21943945,0.21943945
1.0,0.09174312,0.23037829,0.23037829,0.23037829,0.23037829
1.1,0.08340284,0.18299943,0.18299943,0.18299943,0.18299943
1.2,0.0764526,0.14651898,0.14651898,0.14651898,0.14651898
1.3,0.07057163,0.12744422,0.12744422,0.12744422,0.12744422
1.4,0.0655308,0.1093185,0.1093185,0.1093185,0.1093185
1.5,0.06116208,0.10196226,0.10196226,0.10196226,0.10196226
1.6,0.05733945,0.10357527,0.10357527,0.10357527,0.10357527
1.7,0.05396654,0.10998858,0.10998858,0.10998858,0.10998858
1.8,0.0509684,0.1002638,0.1002638,0.1002638,0.1002638
1.9,0.04828585,0.08622401,0.08622401,0.08622401,0.08622401
2.0,0.04587156,0.08282253,0.08282253,0.08282253,0.08282253
2.2,0.04170142,0.06308479,0.06308479,0.06308479,0.06308479
2.4,0.0382263,0.05151596,0.05151596,0.05151596,0.05151596
2.5,0.03669725,0.0524169,0.0524169,0.0524169,0.0524169
2.6,0.03528582,0.05184345,0.05184345,0.05184345,0.05184345
2.8,0.0327654,0.04706231,0.04706231,0.04706231,0.04706231
3.0,0.03058104,0.04038829,0.04038829,0.04038829,0.04038829
3.2,0.02866973,0.03612332,0.03612332,0.03612332,0.03612332
3.4,0.02698327,0.03267779,0.03267779,0.03267779,0.03267779
3.5,0.02621232,0.02805216,0.02805216,0.02805216,0.02805216
3.6,0.02329336,0.02462167,0.02462167,0.02462167,0.02462167
3.8,0.01857058,0.02008226,0.02008226,0.02008226,0.02008226
4.0,0.01497847,0.01642335,0.01642335,0.01642335,0.01642335
4.2,0.01340981,0.01434992,0.01434992,0.01434992,0.01434992
4.4,0.01206738,0.01292036,0.01292036,0.01292036,0.01292036
4.6,0.01091797,0.01222265,0.01222265,0.01222265,0.01222265
4.8,0.00992697,0.01078631,0.01078631,0.01078631,0.01078631
5.0,0.00906105,0.01017471,0.01017471,0.01017471,0.01017471
5.5,0.00811593,0.00639589,0.00639589,0.00639589,0.00639589
6.0,0.00733945,0.00461373,0.00461373,0.00461373,0.00461373
6.5,0.00607343,0.00372117,0.00372117,0.00372117,0.00372117
7.0,0.00509684,0.00289307,0.00289307,0.00289307,0.00289307
7.5,0.00434631,0.00251196,0.00251196,0.00251196,0.00251196
8.0,0.00374462,0.00229979,0.00229979,0.00229979,0.00229979
8.5,0.00326369,0.00209576,0.00209576,0.00209576,0.00209576
9.0,0.00286697,0.00190216,0.00190216,0.00190216,0.00190216
9.5,0.00254053,0.00174153,0.00174153,0.00174153,0.00174153
10.0,0.00226526,0.00158749,0.00158749,0.00158749,0.00158749
11.0,0.0,0.00133306,0.00133306,0.00133306,0.00133306
12.0,0.0,0.00113066,0.00113066,0.00113066,0.00113066
13.0,0.0,0.00095853,0.00095853,0.00095853,0.00095853
14.0,0.0,0.00081502,0.00081502,0.00081502,0.00081502
15.0,0.0,0.00069662,0.00069662,0.00069662,0.00069662
20.0,0.0,0.00035241,0.00035241,0.00035241,0.00035241

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-215 Horizontal-1 pSa (g),RSN-215 Horizontal-2 pSa (g),RSN-215 Vertical pSa (g)
0.01,0.05513753,0.036516,0.0161
0.02,0.05573423,0.03676801,0.0163
0.022,0.05590855,0.03683536,0.0164
0.025,0.05625222,0.03688533,0.0163
0.029,0.05669207,0.03701058,0.0162
0.03,0.05694016,0.03706118,0.0163
0.032,0.0570653,0.03713491,0.0163
0.035,0.05742298,0.03721085,0.0162
0.036,0.05769052,0.03741375,0.0161
0.04,0.05869574,0.03778788,0.0164
0.042,0.0586609,0.03791944,0.0168
0.044,0.05916681,0.03816862,0.0169
0.045,0.05947249,0.03824015,0.0168
0.046,0.05975166,0.0382758,0.0168
0.048,0.06029618,0.03828957,0.0172
0.05,0.06060207,0.03859586,0.0182
0.055,0.06250466,0.04002007,0.0183
0.06,0.06760786,0.03979454,0.0207
0.065,0.07274751,0.04148335,0.0225
0.067,0.0730963,0.04232272,0.022
0.07,0.07451031,0.04267056,0.0216
0.075,0.07724684,0.0447444,0.0282
0.08,0.08165845,0.04992379,0.0319
0.085,0.09125452,0.05842882,0.0333
0.09,0.1009689,0.06412904,0.0348
0.095,0.1262671,0.06400895,0.0367
0.1,0.1441622,0.06170258,0.0348
0.11,0.1514889,0.063323,0.0327
0.12,0.09966116,0.06524714,0.0408
0.13,0.09449319,0.06849205,0.0331
0.133,0.1081112,0.0671989,0.0316
0.14,0.1238953,0.07108598,0.0342
0.15,0.09270739,0.07673214,0.039
0.16,0.0983659,0.07816194,0.04
0.17,0.1172507,0.1005387,0.0397
0.18,0.1000325,0.134701,0.0381
0.19,0.1028952,0.1512016,0.0398
0.2,0.1140397,0.1542622,0.0446
0.22,0.1508019,0.126484,0.0419
0.24,0.1270339,0.09989683,0.0566
0.25,0.1489563,0.1058057,0.0581
0.26,0.1578211,0.1038247,0.0486
0.28,0.1206478,0.1162233,0.0388
0.29,0.1167198,0.1270423,0.037
0.3,0.118314,0.1347124,0.0336
0.32,0.1036601,0.1184523,0.0346
0.34,0.1069582,0.1057794,0.0316
0.35,0.1120041,0.09719699,0.0353
0.36,0.1160178,0.10957,0.0363
0.38,0.1390912,0.1330911,0.0402
0.4,0.1183154,0.1314807,0.0346
0.42,0.1007536,0.1367559,0.0423
0.44,0.08789527,0.1185824,0.0467
0.45,0.07804116,0.1176681,0.0481
0.46,0.07296766,0.1184424,0.049
0.48,0.06596992,0.1168491,0.0465
0.5,0.06021518,0.105925,0.0372
0.55,0.08262128,0.1165848,0.0353
0.6,0.09668978,0.1217559,0.0339
0.65,0.08341447,0.1139372,0.0405
0.667,0.08276372,0.1105102,0.0425
0.7,0.07705648,0.08844546,0.0428
0.75,0.07379407,0.07071813,0.0362
0.8,0.07635546,0.07714562,0.0361
0.85,0.08735216,0.0848894,0.0307
0.9,0.08937689,0.08024342,0.0326
0.95,0.08226326,0.07945225,0.0294
1.0,0.07834467,0.09098659,0.0345
1.1,0.05077047,0.08073949,0.0269
1.2,0.04822446,0.05920868,0.033
1.3,0.04583438,0.04807292,0.0296
1.4,0.03471164,0.04517971,0.019
1.5,0.02786278,0.04525037,0.0202
1.6,0.02655493,0.04699809,0.0212
1.7,0.02937661,0.04922434,0.0225
1.8,0.0293157,0.04325764,0.0179
1.9,0.02424313,0.03783799,0.0148
2.0,0.02354596,0.03617792,0.0113
2.2,0.01636327,0.02851737,0.0116
2.4,0.01434883,0.02269326,0.00803
2.5,0.01426908,0.02329594,0.00743
2.6,0.01359087,0.02335285,0.0075
2.8,0.0109922,0.02192694,0.00562
3.0,0.00895602,0.01904924,0.0042
3.2,0.00949094,0.01625941,0.00362
3.4,0.00870707,0.01463701,0.00322
3.5,0.00735242,0.01263696,0.00297
3.6,0.00600859,0.01133866,0.0027
3.8,0.00432752,0.00952993,0.00245
4.0,0.00347842,0.00782087,0.00266
4.2,0.00400885,0.0063137,0.00234
4.4,0.00444904,0.00505475,0.00203
4.6,0.00482468,0.00415955,0.00169
4.8,0.00426653,0.00366048,0.00136
5.0,0.00422031,0.00321081,0.00118
5.5,0.00242211,0.0022902,0.000966
6.0,0.00176408,0.00163403,0.000761
6.5,0.00141278,0.00132866,0.000592
7.0,0.00098711,0.00113978,0.000453
7.5,0.00075445,0.00106994,0.000351
8.0,0.00065394,0.0010045,0.000302
8.5,0.00055901,0.00093838,0.000262
9.0,0.00047211,0.00087174,0.000227
9.5,0.00041751,0.00080593,0.000198
10.0,0.0003649,0.00074255,0.000174
11.0,0.00029996,0.00062667,0.000147
12.0,0.00026183,0.00052792,0.000123
13.0,0.00022512,0.00044597,0.00011
14.0,0.00019231,0.00037874,9.84e-05
15.0,0.00016428,0.00032377,8.8e-05
20.0,8.211e-05,0.0001643,5.02e-05
