
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-07-09


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Kobe
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1106, -, 1.0, -, 4.3, 9.5, 8.4, "Kobe_ Japan", 1995, "Kobe", 6.9, strike slip, <1.00, <1.00, 312.0, 0.0625, 2.9467, RSN1106_KOBE_KJM000.AT2, RSN1106_KOBE_KJM090.AT2 , RSN1106_KOBE_KJM-UP.AT2 

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-8837 SRSS pSa (g)
1.6,0.05733945,0.11259576,0.11259576,0.11259576,0.11259576
1.7,0.05396654,0.10927266,0.10927266,0.10927266,0.10927266
1.8,0.0509684,0.10032865,0.10032865,0.10032865,0.10032865
1.9,0.04828585,0.08467219,0.08467219,0.08467219,0.08467219
2.0,0.04587156,0.06557969,0.06557969,0.06557969,0.06557969
2.2,0.04170142,0.04853275,0.04853275,0.04853275,0.04853275
2.4,0.0382263,0.03364001,0.03364001,0.03364001,0.03364001
2.5,0.03669725,0.0290528,0.0290528,0.0290528,0.0290528
2.6,0.03528582,0.02824259,0.02824259,0.02824259,0.02824259
2.8,0.0327654,0.02834172,0.02834172,0.02834172,0.02834172
3.0,0.03058104,0.0257747,0.0257747,0.0257747,0.0257747
3.2,0.02866973,0.02269001,0.02269001,0.02269001,0.02269001
3.4,0.02698327,0.02028327,0.02028327,0.02028327,0.02028327
3.5,0.02621232,0.01850518,0.01850518,0.01850518,0.01850518
3.6,0.02329336,0.01677102,0.01677102,0.01677102,0.01677102
3.8,0.01857058,0.01382553,0.01382553,0.01382553,0.01382553
4.0,0.01497847,0.01128583,0.01128583,0.01128583,0.01128583
4.2,0.01340981,0.00929506,0.00929506,0.00929506,0.00929506
4.4,0.01206738,0.00793998,0.00793998,0.00793998,0.00793998
4.6,0.01091797,0.0069526,0.0069526,0.0069526,0.0069526
4.8,0.00992697,0.00613896,0.00613896,0.00613896,0.00613896
5.0,0.00906105,0.00546183,0.00546183,0.00546183,0.00546183
5.5,0.00811593,0.00412259,0.00412259,0.00412259,0.00412259
6.0,0.00733945,0.0034121,0.0034121,0.0034121,0.0034121
6.5,0.00607343,0.00283451,0.00283451,0.00283451,0.00283451
7.0,0.00509684,0.00237245,0.00237245,0.00237245,0.00237245
7.5,0.00434631,0.00201379,0.00201379,0.00201379,0.00201379
8.0,0.00374462,0.00176946,0.00176946,0.00176946,0.00176946
8.5,0.00326369,0.00156565,0.00156565,0.00156565,0.00156565
9.0,0.00286697,0.00139155,0.00139155,0.00139155,0.00139155
9.5,0.00254053,0.00124355,0.00124355,0.00124355,0.00124355
10.0,0.00226526,0.00111967,0.00111967,0.00111967,0.00111967
11.0,0.0,0.00092022,0.00092022,0.00092022,0.00092022
12.0,0.0,0.00076933,0.00076933,0.00076933,0.00076933
13.0,0.0,0.00065284,0.00065284,0.00065284,0.00065284
14.0,0.0,0.00056108,0.00056108,0.00056108,0.00056108
15.0,0.0,0.00048749,0.00048749,0.00048749,0.00048749
20.0,0.0,0.00027215,0.00027215,0.00027215,0.00027215

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-8837 Horizontal-1 pSa (g),RSN-8837 Horizontal-2 pSa (g),RSN-8837 Vertical pSa (g)
0.01,0.04854623,0.04109211,0.0189
0.02,0.04818735,0.04073112,0.0191
0.022,0.04830385,0.04079581,0.0195
0.025,0.04868226,0.04129335,0.0212
0.029,0.0484547,0.04234351,0.0246
0.03,0.04881145,0.04243101,0.0252
0.032,0.04845788,0.04252711,0.0242
0.035,0.04946221,0.04266088,0.0291
0.036,0.0502308,0.04237971,0.0289
0.04,0.05049855,0.04171454,0.029
0.042,0.04966781,0.0428057,0.0291
0.044,0.04840688,0.04224277,0.0301
0.045,0.04942533,0.04117216,0.0309
0.046,0.05004782,0.04006903,0.0306
0.048,0.05181886,0.04123189,0.0316
0.05,0.05398146,0.04322005,0.0315
0.055,0.0522536,0.04167414,0.0349
0.06,0.05297083,0.04268817,0.0325
0.065,0.05408487,0.04498833,0.038
0.067,0.053416,0.04496893,0.0384
0.07,0.0493492,0.04691335,0.0469
0.075,0.05551208,0.05291634,0.0553
0.08,0.05770293,0.05188152,0.0511
0.085,0.0533072,0.05460656,0.0402
0.09,0.05655709,0.05608148,0.0337
0.095,0.06158891,0.05443088,0.0379
0.1,0.07132941,0.05475799,0.0344
0.11,0.08823829,0.07090703,0.0335
0.12,0.09670624,0.0741944,0.0396
0.13,0.1124965,0.07729507,0.0343
0.133,0.1200238,0.08271591,0.0349
0.14,0.1275218,0.09275236,0.0354
0.15,0.1118636,0.08541229,0.0422
0.16,0.09014034,0.07580049,0.0426
0.17,0.09083097,0.07272711,0.0494
0.18,0.1040166,0.08266569,0.0475
0.19,0.1118311,0.08965188,0.0577
0.2,0.1148104,0.1057369,0.0618
0.22,0.09109879,0.1206927,0.0605
0.24,0.06905321,0.1145347,0.0516
0.25,0.06289135,0.1091203,0.0543
0.26,0.05979384,0.1021488,0.0561
0.28,0.05777209,0.08649636,0.0541
0.29,0.05872235,0.08015557,0.0452
0.3,0.05678547,0.07658111,0.0353
0.32,0.04933118,0.07029785,0.0352
0.34,0.048723,0.06781838,0.0348
0.35,0.05281628,0.06659336,0.0336
0.36,0.05695268,0.06598908,0.0309
0.38,0.06120454,0.0649439,0.026
0.4,0.06182297,0.06246191,0.0223
0.42,0.06422149,0.0592969,0.0272
0.44,0.06543387,0.0553823,0.0247
0.45,0.06562074,0.05390908,0.0253
0.46,0.06573775,0.05484204,0.0259
0.48,0.06555137,0.06680229,0.0273
0.5,0.06478748,0.06308313,0.0297
0.55,0.06042812,0.06209531,0.0339
0.6,0.05744993,0.09219291,0.0362
0.65,0.05799582,0.09127142,0.0301
0.667,0.06226468,0.08451481,0.0333
0.7,0.07136387,0.06924081,0.0336
0.75,0.054288,0.06994221,0.0344
0.8,0.04904172,0.07288033,0.0383
0.85,0.0462345,0.06818254,0.0367
0.9,0.04175387,0.06605779,0.032
0.95,0.03891966,0.06216021,0.0245
1.0,0.04309387,0.05761976,0.02
1.1,0.03524605,0.04201283,0.0177
1.2,0.04184458,0.03241207,0.0199
1.3,0.04454452,0.02901149,0.0117
1.4,0.03096317,0.02349187,0.0119
1.5,0.02214581,0.02692657,0.0125
1.6,0.02226909,0.03105143,0.011
1.7,0.0220321,0.02982912,0.0119
1.8,0.02157328,0.02634154,0.0118
1.9,0.01747648,0.02280944,0.00943
2.0,0.01247421,0.0184311,0.00779
2.2,0.01069376,0.0125267,0.00654
2.4,0.00787949,0.00826111,0.00645
2.5,0.00743185,0.00647909,0.0058
2.6,0.00786092,0.00548367,0.0056
2.8,0.00769881,0.00576533,0.00426
3.0,0.00688193,0.00539913,0.00277
3.2,0.00586152,0.00499363,0.00245
3.4,0.00556152,0.00405608,0.0022
3.5,0.00527721,0.00340442,0.00222
3.6,0.0049321,0.00284041,0.00216
3.8,0.00416176,0.00216656,0.00173
4.0,0.00341172,0.00174052,0.00165
4.2,0.00276856,0.0015118,0.00133
4.4,0.00225598,0.00147352,0.000967
4.6,0.00186668,0.00144315,0.000812
4.8,0.00157785,0.00136043,0.000656
5.0,0.00139022,0.00122596,0.000531
5.5,0.00111562,0.00084428,0.000413
6.0,0.000913,0.00071225,0.000328
6.5,0.00076108,0.00058829,0.00027
7.0,0.00064475,0.00048222,0.000228
7.5,0.00055369,0.0004006,0.000193
8.0,0.00048099,0.00035951,0.000167
8.5,0.00042195,0.00032291,0.000146
9.0,0.00037331,0.00028924,0.000129
9.5,0.00033296,0.0002593,0.000116
10.0,0.00030002,0.00023318,0.000104
11.0,0.00024702,0.00019107,8.58e-05
12.0,0.00020678,0.00015941,7.17e-05
13.0,0.00017558,0.00013512,6.08e-05
14.0,0.00015094,0.00011608,5.22e-05
15.0,0.00013115,0.00010084,4.53e-05
20.0,7.321e-05,5.631e-05,2.52e-05
